order_id,created_at,paid_at,course_name,status,revenue_rub,city,payment_system
1001,2024-09-01 10:15:22,2024-09-01 10:17:45,Аналитик данных,завершен,45000,Москва,яндекс
1002,2024-09-01 11:30:10,2024-09-01 11:32:18,Python-разработчик,завершен,55000,Санкт-Петербург,сбер
1003,2024-09-01 12:45:33,,Аналитик данных,отменен,0,Новосибирск,т-банк
1004,2024-09-02 09:05:11,2024-09-02 09:08:20,Тестировщик ПО,завершен,35000,Екатеринбург,альфа
1005,2024-09-02 14:22:50,2024-09-02 14:25:03,Data Science,завершен,65000,Казань,яндекс
1006,2024-09-03 08:10:05,,Python-разработчик,отменен,0,Челябинск,сбер
1007,2024-09-03 16:40:22,2024-09-03 16:42:11,Аналитик данных,завершен,45000,Самара,т-банк
1008,2024-09-04 11:11:33,2024-09-04 11:15:00,DevOps-инженер,завершен,75000,Ростов-на-Дону,яндекс
1009,2024-09-04 18:05:44,,Тестировщик ПО,отменен,0,Уфа,альфа
1010,2024-09-05 09:30:17,2024-09-05 09:32:55,Data Science,завершен,65000,Красноярск,сбер
1011,2024-09-05 13:20:38,2024-09-05 13:23:10,Аналитик данных,завершен,45000,Воронеж,яндекс
1012,2024-09-06 10:01:22,,Python-разработчик,отменен,0,Пермь,т-банк
1013,2024-09-06 15:45:11,2024-09-06 15:48:02,Тестировщик ПО,завершен,35000,Волгоград,альфа
1014,2024-09-07 12:33:09,2024-09-07 12:36:44,Data Science,завершен,65000,Краснодар,сбер
1015,2024-09-07 17:20:55,,DevOps-инженер,отменен,0,Саратов,яндекс
1016,2024-09-08 08:55:30,2024-09-08 08:58:12,Аналитик данных,завершен,45000,Тюмень,т-банк
1017,2024-09-08 14:10:22,2024-09-08 14:13:01,Python-разработчик,завершен,55000,Ижевск,альфа
1018,2024-09-09 09:40:18,,Тестировщик ПО,отменен,0,Барнаул,сбер
1019,2024-09-09 16:05:33,2024-09-09 16:07:48,Data Science,завершен,65000,Липецк,яндекс
1020,2024-09-10 11:22:40,2024-09-10 11:25:15,Аналитик данных,завершен,45000,Тула,т-банк
1021,2024-09-10 18:15:02,,DevOps-инженер,отменен,0,Калининград,альфа
1022,2024-09-11 10:30:11,2024-09-11 10:32:33,Python-разработчик,завершен,55000,Омск,сбер
1023,2024-09-11 13:44:20,2024-09-11 13:46:55,Тестировщик ПО,завершен,35000,Кемерово,яндекс
1024,2024-09-12 09:05:30,,Аналитик данных,отменен,0,Астрахань,т-банк
1025,2024-09-12 15:12:44,2024-09-12 15:15:20,Data Science,завершен,65000,Махачкала,альфа
1026,2024-09-13 11:55:22,2024-09-13 11:58:10,DevOps-инженер,завершен,75000,Сочи,сбер
1027,2024-09-13 17:30:05,,Python-разработчик,отменен,0,Ярославль,яндекс
1028,2024-09-14 08:22:18,2024-09-14 08:25:01,Аналитик данных,завершен,45000,Тверь,т-банк
1029,2024-09-14 14:40:33,2024-09-14 14:43:15,Тестировщик ПО,завершен,35000,Ставрополь,альфа
1030,2024-09-15 12:10:40,,Data Science,отменен,0,Киров,сбер
1031,2024-09-15 16:25:12,2024-09-15 16:27:50,Python-разработчик,завершен,55000,Пенза,яндекс
1032,2024-09-16 09:50:22,2024-09-16 09:52:45,Аналитик данных,завершен,45000,Брянск,т-банк
1033,2024-09-16 13:05:33,,DevOps-инженер,отменен,0,Иркутск,альфа
1034,2024-09-17 10:30:17,2024-09-17 10:33:00,Тестировщик ПО,завершен,35000,Владивосток,сбер
1035,2024-09-17 17:15:28,2024-09-17 17:18:10,Data Science,завершен,65000,Хабаровск,яндекс
1036,2024-09-18 11:05:44,,Аналитик данных,отменен,0,Оренбург,т-банк
1037,2024-09-18 15:40:12,2024-09-18 15:42:33,Python-разработчик,завершен,55000,Томск,альфа
1038,2024-09-19 08:25:30,2024-09-19 08:28:05,DevOps-инженер,завершен,75000,Курск,сбер
1039,2024-09-19 14:10:22,,Тестировщик ПО,отменен,0,Смоленск,яндекс
1040,2024-09-20 10:45:18,2024-09-20 10:48:00,Аналитик данных,завершен,45000,Калуга,т-банк
1041,2024-09-20 16:33:09,2024-09-20 16:35:44,Data Science,завершен,65000,Ульяновск,альфа
1042,2024-09-21 09:20:55,,Python-разработчик,отменен,0,Рязань,сбер
1043,2024-09-21 13:55:30,2024-09-21 13:58:12,Тестировщик ПО,завершен,35000,Владимир,яндекс
1044,2024-09-22 11:10:22,2024-09-22 11:13:01,Аналитик данных,завершен,45000,Архангельск,т-банк
1045,2024-09-22 17:40:18,,DevOps-инженер,отменен,0,Сургут,альфа
1046,2024-09-23 10:05:33,2024-09-23 10:08:02,Python-разработчик,завершен,55000,Нижний Новгород,сбер
1047,2024-09-23 15:22:40,2024-09-23 15:25:15,Data Science,завершен,65000,Самара,яндекс
1048,2024-09-24 09:15:02,,Аналитик данных,отменен,0,Чебоксары,т-банк
1049,2024-09-24 14:30:11,2024-09-24 14:32:33,Тестировщик ПО,завершен,35000,Курган,альфа
1050,2024-09-25 11:44:20,2024-09-25 11:46:55,DevOps-инженер,завершен,75000,Стерлитамак,сбер
1051,2024-09-25 16:05:30,,Python-разработчик,отменен,0,Тамбов,яндекс
1052,2024-09-26 08:12:44,2024-09-26 08:15:20,Аналитик данных,завершен,45000,Орёл,т-банк
1053,2024-09-26 13:55:22,2024-09-26 13:58:10,Data Science,завершен,65000,Вологда,альфа
1054,2024-09-27 10:30:05,,Тестировщик ПО,отменен,0,Набережные Челны,сбер
1055,2024-09-27 15:22:18,2024-09-27 15:25:01,Python-разработчик,завершен,55000,Новокузнецк,яндекс
1056,2024-09-28 09:40:33,2024-09-28 09:43:15,Аналитик данных,завершен,45000,Абакан,т-банк
1057,2024-09-28 14:10:40,,DevOps-инженер,отменен,0,Петрозаводск,альфа
1058,2024-09-29 11:25:12,2024-09-29 11:27:50,Тестировщик ПО,завершен,35000,Сыктывкар,сбер
1059,2024-09-29 16:50:22,2024-09-29 16:52:45,Data Science,завершен,65000,Магадан,яндекс
1060,2024-09-30 10:05:33,2024-09-30 10:08:00,Аналитик данных,завершен,45000,Южно-Сахалинск,т-банк
